Color
EnergyConversion_Capacity_Electricity_Wind_Onshore,#00ced1
EnergyConversion_Capacity_Electricity_Hydro_ReservoirTurbine,#033996
EnergyConversion_Capacity_ElectricityHeat_CH4_ExCCGT,#e0a2ec
EnergyConversion_Capacity_Heat_CH4_Large,#d46566
EnergyConversion_Capacity_Heat_Electricity_Large,#36b07b
EnergyConversion_Capacity_Heat_ElectricityHeat_Large,#3078a3
EnergyConversion_Capacity_Heat_ElectricityHeat_Small,#6fbeee
EnergyConversion_Capacity_Electricity_Hydro_ReservoirStorage,#033996
Storage_Capacity_Electricity_LiIonBatteryStorage,#cdb79e
Storage_Capacity_Heat_LargeStorage,#ce2863
Large,#ce2863
Storage_Capacity_Heat_SmallStorage,#dd8ca8
Small,#dd8ca8
Storage_Capacity_H2_CavernStorage,#1bbf9a
